Date,Affected pages
2025-08-02,23585
2025-08-03,24170
2025-08-04,24170
2025-08-05,24170
2025-08-06,24864
2025-08-07,24864
2025-08-08,24864
2025-08-09,24864
2025-08-10,25413
2025-08-11,25413
2025-08-12,25413
2025-08-13,27101
2025-08-14,27101
2025-08-15,27101
2025-08-16,27101
2025-08-17,29536
2025-08-18,29536
2025-08-19,29536
2025-08-20,30074
2025-08-21,30074
2025-08-22,30074
2025-08-23,30074
2025-08-24,32251
2025-08-25,32251
2025-08-26,32251
2025-08-27,33472
2025-08-28,33472
2025-08-29,33472
2025-08-30,33472
2025-08-31,33566
2025-09-01,33566
2025-09-02,33566
2025-09-03,33835
2025-09-04,33835
2025-09-05,33835
2025-09-06,33835
2025-09-07,33895
2025-09-08,33895
2025-09-09,33895
2025-09-10,33996
2025-09-11,33996
2025-09-12,33996
2025-09-13,33996
2025-09-14,34045
2025-09-15,34045
2025-09-16,34045
2025-09-17,34026
2025-09-18,34026
2025-09-19,34026
2025-09-20,34026
2025-09-21,34204
2025-09-22,34204
2025-09-23,34204
2025-09-24,34454
2025-09-25,34454
2025-09-26,34454
2025-09-27,34454
2025-09-28,34484
2025-09-29,34484
2025-09-30,34484
2025-10-01,34482
2025-10-02,34482
2025-10-03,34482
2025-10-04,34482
2025-10-05,34483
2025-10-06,34483
2025-10-07,34483
2025-10-08,34482
2025-10-09,34482
2025-10-10,34482
2025-10-11,34482
